,Year,Term Number,Department,Course Number,Number of Sections,Enrollments,Median GPA Points,Average Section Size
1336,2022.0,2.0,HIST,63.02,1.0,12.0,4.0,12.0
1337,2022.0,2.0,HIST,82.01,,23.0,4.0,23.0
1338,2022.0,2.0,HIST,92.02,1.0,15.0,3.333333333333333,15.0
1339,2022.0,2.0,HIST,96.28,1.0,12.0,4.0,12.0
1340,2022.0,2.0,HIST,,,12.0,3.6666666666666665,12.0
1341,2022.0,2.0,,3.07,1.0,,4.0,15.0
1342,2022.0,2.0,INTS,15.0,1.0,28.0,3.6666666666666665,28.0
1343,2022.0,2.0,INTS,16.0,1.0,21.0,3.6666666666666665,
1344,2022.0,2.0,,18.0,,23.0,3.6666666666666665,23.0
1345,,2.0,ITAL,,1.0,13.0,4.0,13.0
1346,2022.0,2.0,ITAL,2.0,1.0,18.0,4.0,18.0
1347,2022.0,2.0,ITAL,3.0,1.0,21.0,4.0,21.0
1348,,2.0,ITAL,8.0,1.0,12.0,4.0,12.0
1349,2022.0,2.0,ITAL,10.0,1.0,10.0,4.0,10.0
1350,2022.0,2.0,ITAL,12.0,1.0,10.0,4.0,10.0
1351,,,ITAL,7.08,1.0,16.0,4.0,16.0
1352,2022.0,2.0,,,1.0,26.0,4.0,26.0
1353,2022.0,,JAPN,3.0,1.0,19.0,4.0,19.0
1354,,2.0,JWST,53.0,1.0,34.0,4.0,34.0
1355,2022.0,2.0,LACS,1.0,1.0,25.0,4.0,25.0
1356,2022.0,2.0,LACS,9.0,,,4.0,22.0
1357,2022.0,2.0,LACS,31.0,,,4.0,23.0
1358,2022.0,,LACS,54.0,1.0,15.0,3.333333333333333,15.0
1359,2022.0,2.0,LACS,23.61,1.0,25.0,4.0,25.0
1360,2022.0,2.0,LACS,40.1,1.0,32.0,4.0,32.0
1361,2022.0,2.0,LACS,,1.0,32.0,3.333333333333333,32.0
1362,2022.0,,LAT,2.0,1.0,22.0,3.666666666666666,22.0
1363,2022.0,2.0,LAT,3.0,,,3.691176470588236,17.0
1364,2022.0,2.0,LATS,3.0,1.0,12.0,,12.0
1365,2022.0,2.0,LATS,8.0,1.0,28.0,4.0,28.0
1366,2022.0,2.0,LATS,37.0,1.0,21.0,4.0,21.0
1367,2022.0,2.0,LATS,40.0,1.0,21.0,3.333333333333333,21.0
1368,2022.0,2.0,LATS,45.0,1.0,20.0,3.8333333333333335,20.0
1369,,2.0,LING,1.0,1.0,12.0,2.833333333333333,12.0
1370,2022.0,2.0,LING,17.0,1.0,25.0,4.0,25.0
1371,2022.0,2.0,LING,20.0,1.0,27.0,4.0,27.0
1372,,2.0,LING,24.0,1.0,10.0,4.0,10.0
1373,2022.0,,LING,48.0,2.0,80.0,3.6666666666666665,40.0
1374,2022.0,2.0,LING,7.07,1.0,11.0,3.666666666666666,11.0
1375,2022.0,2.0,LING,11.13,1.0,30.0,4.0,30.0
1376,,2.0,LING,11.17,1.0,29.0,4.0,29.0
1377,2022.0,2.0,MATH,8.0,2.0,62.0,3.333333333333333,31.0
1378,2022.0,2.0,MATH,10.0,3.0,390.0,4.0,130.0
1379,2022.0,2.0,MATH,13.0,,198.0,3.6666666666666665,66.0
1380,2022.0,2.0,MATH,20.0,1.0,43.0,3.6666666666666665,43.0
1381,2022.0,2.0,MATH,22.0,3.0,324.0,4.0,108.0
1382,2022.0,2.0,MATH,23.0,2.0,46.0,3.6666666666666665,23.0
1383,2022.0,2.0,MATH,24.0,1.0,15.0,4.0,15.0
1384,2022.0,2.0,MATH,38.0,1.0,15.0,3.6666666666666665,15.0
1385,2022.0,2.0,MATH,46.0,1.0,16.0,3.1666666666666665,16.0
1386,2022.0,2.0,MATH,60.0,1.0,,4.0,23.0
1387,2022.0,2.0,MATH,70.0,1.0,10.0,3.6666666666666665,10.0
1388,2022.0,2.0,MATH,74.0,,10.0,4.0,10.0
1389,2022.0,2.0,MATH,75.0,1.0,13.0,4.0,13.0
1390,2022.0,2.0,MATH,87.0,1.0,10.0,4.0,10.0
1391,2022.0,,MATH,30.04,2.0,99.0,4.0,49.5
1392,2022.0,2.0,MES,1.0,2.0,113.0,3.831858407079646,56.5
1393,2022.0,2.0,MES,4.01,1.0,22.0,3.333333333333334,22.0
1394,2022.0,2.0,MES,7.01,1.0,,3.6666666666666665,15.0
1395,2022.0,2.0,MES,7.05,1.0,16.0,3.6666666666666665,16.0
1396,2022.0,2.0,MES,12.05,1.0,15.0,,15.0
1397,2022.0,2.0,MES,12.14,1.0,,4.0,15.0
1398,,2.0,MES,16.35,,139.0,4.0,139.0
1399,2022.0,2.0,MES,19.05,1.0,13.0,3.6666666666666665,13.0
1400,2022.0,2.0,MUS,1.0,,45.0,4.0,45.0
1401,2022.0,2.0,MUS,2.0,1.0,43.0,4.0,
